ticker,strategy,parameter_set,commission_bps,slippage_bps,net_return,sharpe,turnover,total_costs,degradation_vs_zero_cost,estimated_break_even_cost_bps
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,0,25,6.777325,1.042956,315.533393,78888.077149,2.243654,100.516604
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,5,0,8.520890,1.127362,359.610354,17980.517713,0.500089,90.193697
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,5,5,8.054475,1.106320,348.053810,34805.591050,0.966504,93.336167
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,5,10,7.610463,1.085365,336.865350,50530.614072,1.410516,95.932764
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,5,25,6.391055,1.021689,305.476540,91647.529278,2.629924,102.903863
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,10,0,8.054473,1.106320,348.058011,34805.801114,0.966506,93.335964
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,10,5,7.610463,1.085365,336.869408,50530.614072,1.410516,95.932764
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,10,10,7.180162,1.064007,325.911694,65183.122081,1.840817,98.010613
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,10,25,6.030889,1.000917,295.968226,103593.295881,2.990091,105.593545
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,20,0,7.180155,1.064007,325.919526,65183.905281,1.840825,98.010196
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,20,5,6.777333,1.042956,315.548525,78887.320529,2.243646,100.516943
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,20,10,6.391060,1.021689,305.487502,91646.981213,2.629919,102.904078
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,20,25,5.345074,0.958240,277.521506,124888.798865,3.675905,110.433775
BTC-USD,MA_Cross,short=20;long=50,0,0,5.977774,0.850047,187.319101,0.000000,0.000000,0.000000
BTC-USD,MA_Cross,short=20;long=50,0,5,5.980007,0.850634,186.046141,9302.458889,-0.002233,0.000000
BTC-USD,MA_Cross,short=20;long=50,0,10,5.893439,0.847300,180.500931,18050.700530,0.084335,708.815643
BTC-USD,MA_Cross,short=20;long=50,0,25,5.510260,0.823027,177.301514,44329.099449,0.467514,319.657638
BTC-USD,MA_Cross,short=20;long=50,5,0,5.980007,0.850634,186.049178,9302.458889,-0.002233,0.000000
BTC-USD,MA_Cross,short=20;long=50,5,5,5.893441,0.847300,180.503968,18050.548681,0.084333,708.828405
BTC-USD,MA_Cross,short=20;long=50,5,10,5.661932,0.833578,178.477699,26772.247781,0.315842,283.897023
BTC-USD,MA_Cross,short=20;long=50,5,25,5.269046,0.813446,173.818260,52149.096966,0.708728,253.035274
BTC-USD,MA_Cross,short=20;long=50,10,0,5.893439,0.847300,180.507005,18050.700530,0.084335,708.815643
BTC-USD,MA_Cross,short=20;long=50,10,5,5.661932,0.833578,178.480664,26772.247781,0.315842,283.897023
BTC-USD,MA_Cross,short=20;long=50,10,10,5.562576,0.826355,177.751918,35550.975399,0.415199,287.947727
BTC-USD,MA_Cross,short=20;long=50,10,25,4.836023,0.788143,172.204604,60275.010637,1.141751,183.246635
BTC-USD,MA_Cross,short=20;long=50,20,0,5.562570,0.826355,177.757836,35551.567208,0.415204,287.943623
BTC-USD,MA_Cross,short=20;long=50,20,5,5.510266,0.823027,177.313421,44328.504094,0.467508,319.661708
BTC-USD,MA_Cross,short=20;long=50,20,10,5.269050,0.813446,173.826945,52148.662675,0.708724,253.036825
BTC-USD,MA_Cross,short=20;long=50,20,25,4.744560,0.782401,169.141318,76117.034139,1.233214,218.129015
BTC-USD,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,0,-0.038823,0.104734,20.786354,0.000000,0.000000,0.000000
BTC-USD,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,5,-0.049216,0.100001,20.786815,1039.317680,0.010393,-18.677124
BTC-USD,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,10,-0.059609,0.095267,20.787277,2078.635359,0.020786,-18.677124
